name,ticker
IDI,IDIP
IDS,MLIDS
IDSUD,ALIDS
IEP INVEST,IEP
IEX GROUP NV,IEX
IGIS NEPTUNE,MLABC
IKONISYS,ALIKO
ILBE,ALIE
IMALLIANCE,MLIML
IMBAKIN HOLDING,
IMCD,IMCD
IMERYS,NK
IMM.PARIS.PERLE,MLIPP
IMMAGRIFOR,
IMMERSION,ALIMR
IMMO BLOCKCHAIN,MLIMB
IMMO FOND'ROY,
IMMO FOND'ROY -5e,
IMMO MCC,MCC
IMMO MOURY,IMMOU
IMMOB.DASSAULT,IMDA
IMMOBEL,IMMO
IMMOPOOL,IMMOP
IMOB.C GRAO PARA,GPA
IMPLANET,ALIMP
"IMPRESA,SGPS",IPR
IMPRIMERIE CHIRAT,MLIMP
IMPULSE FITNESS,MLIFS
INAPA-INV.P.GESTAO,INA
INCLUSIO SA/NV,INCLU
INDLE FIN.ENTREPR.,INFE
INDUCT,INDCT
INFOCLIP,MLIFC
INFOTEL,INF
INFRABEL,
ING GROEP N.V.,INGA
INIFY LABORATORIES,INIFY
INMARK,MLINM
INMOSUPA,MLISP
INNATE PHARMA,IPH
INNELEC MULTIMEDIA,ALINN
INNOVATIVE RFK SPA,MLIRF
INPOST,INPST
INSTABANK,INSTA
INSTALLUX,ALLUX
INTEGRAGEN,ALINT
INTEGRATED WIND SO,IWS
INTEGRITAS VIAGER,MLVIE
INTEL CORP,INCO
INTEROIL EXPL PROD,IOX
INTERPARFUMS,ITP
INTERTRUST,INTER
INTERVEST OFF-WARE,INTO
INTEXA,ITXT
INTRASENSE,ALINS
INVENTIVA,IVA
INVIBES ADVERTSING,ALINV
IOC HOLDING,MLIOC
IPOSA PROPERTIES,MLIPO
IPSEN,IPN
IPSOS,IPS
IRISH CONT. GP.,IR5B
IRISH RES. PROP.,IRES
ISPD,ALISP
IT LINK,ALITL
ITALY INNOVAZIONI,MLITN
ITERA,ITERA
ITESOFT,ITE
"J.MARTINS,SGPS",JMT
JACQUES BOGART,JBOG
JACQUET METALS,JCQ
JC DECAUX SA.,DEC
JDE PEET'S,JDEP
JENSEN-GROUP,JEN
JINHUI SHIPP TRANS,JIN
JSA TECHNOLOGY,MLJSA
JUNGLE21,MLJ21
